 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 520, num timesteps 333440, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 530, num timesteps 339840, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 540, num timesteps 346240, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 550, num timesteps 352640, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 560, num timesteps 359040, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 570, num timesteps 365440, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 580, num timesteps 371840, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 590, num timesteps 378240, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

 

Updates 600, num timesteps 384640, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 610, num timesteps 391040, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 620, num timesteps 397440, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 630, num timesteps 403840, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 640, num timesteps 410240, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 650, num timesteps 416640, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 660, num timesteps 423040, FPS 162
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 670, num timesteps 429440, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 680, num timesteps 435840, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 690, num timesteps 442240, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

 

Updates 700, num timesteps 448640, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 710, num timesteps 455040, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 720, num timesteps 461440, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 730, num timesteps 467840, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 740, num timesteps 474240, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 750, num timesteps 480640, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 760, num timesteps 487040, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 770, num timesteps 493440, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 780, num timesteps 499840, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 790, num timesteps 506240, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

 

Updates 800, num timesteps 512640, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 810, num timesteps 519040, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 820, num timesteps 525440, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 830, num timesteps 531840, FPS 162
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

