 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/1.00, success rate 0.10

Updates 750, num timesteps 480640, FPS 356
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 760, num timesteps 487040, FPS 356
 Last 100 training episodes: mean/median reward 0.10/0.00, min/max reward 0.00/1.00, success rate 0.11

Updates 770, num timesteps 493440, FPS 356
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 780, num timesteps 499840, FPS 356
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

Updates 790, num timesteps 506240, FPS 356
 Last 100 training episodes: mean/median reward 0.10/0.00, min/max reward 0.00/1.00, success rate 0.11

 

Updates 800, num timesteps 512640, FPS 356
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/1.00, success rate 0.10

Updates 810, num timesteps 519040, FPS 357
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.12

Updates 820, num timesteps 525440, FPS 357
 Last 100 training episodes: mean/median reward 0.11/0.00, min/max reward 0.00/1.00, success rate 0.11

Updates 830, num timesteps 531840, FPS 357
 Last 100 training episodes: mean/median reward 0.10/0.00, min/max reward 0.00/1.00, success rate 0.11

Updates 840, num timesteps 538240, FPS 357
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/1.00, success rate 0.10

Updates 850, num timesteps 544640, FPS 357
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

Updates 860, num timesteps 551040, FPS 357
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.08

Updates 870, num timesteps 557440, FPS 357
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/1.00, success rate 0.10

Updates 880, num timesteps 563840, FPS 357
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 890, num timesteps 570240, FPS 358
 Last 100 training episodes: mean/median reward 0.11/0.00, min/max reward 0.00/1.00, success rate 0.12

 

Updates 900, num timesteps 576640, FPS 358
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

Updates 910, num timesteps 583040, FPS 358
 Last 100 training episodes: mean/median reward 0.04/0.00, min/max reward 0.00/0.99, success rate 0.05

Updates 920, num timesteps 589440, FPS 358
 Last 100 training episodes: mean/median reward 0.06/0.00, min/max reward 0.00/0.94, success rate 0.07

Updates 930, num timesteps 595840, FPS 358
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/0.95, success rate 0.09

Updates 940, num timesteps 602240, FPS 358
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/0.97, success rate 0.10

Updates 950, num timesteps 608640, FPS 358
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/0.98, success rate 0.08

Updates 960, num timesteps 615040, FPS 358
